h_seq,spm_poor,spm_tenmortstatus,spm_totval
1,0,2,127449
1,0,2,127449
2,0,2,64680
2,0,2,64680
3,0,1,40002
4,1,3,8424
4,1,3,8424
5,0,2,59114
5,0,2,59114
5,0,2,59114
5,0,2,59114
7,0,2,17526
8,0,3,11226
9,0,2,19626
10,0,1,117010
10,0,1,117010
10,0,1,117010
12,0,2,34735
12,0,2,34735
12,0,2,34735
13,0,2,20586
14,1,3,7626
15,0,2,15000
16,0,3,38703
16,0,3,38703
17,0,2,42400
17,0,2,42400
17,0,2,42400
18,0,2,35052
18,0,2,35052
19,0,2,75200
19,0,2,75200
19,0,2,75200
19,0,2,75200
19,0,2,75200
19,0,2,75200
19,0,2,75200
20,1,3,8308
20,1,3,8308
20,1,3,8308
22,1,3,10961
23,0,3,40872
24,0,3,22704
28,0,1,150000
28,0,1,150000
28,0,1,150000
29,0,1,70002
29,0,1,70002
29,0,1,70002
29,0,1,70002
30,0,2,42203
32,0,2,153013
32,0,2,153013
33,0,2,21421
37,0,3,91763
37,0,3,91763
37,0,3,91763
38,0,3,16450
45,1,2,10452
45,1,2,10452
56,0,1,96281
56,0,1,96281
56,0,1,96281
56,0,1,96281
56,0,1,96281
65,0,2,28000
65,0,2,28000
67,1,2,1655
67,1,2,1655
67,1,2,1655
67,1,2,1655
68,0,2,132786
68,0,2,132786
68,0,2,132786
68,0,2,132786
68,0,2,132786
69,0,2,20642
69,0,2,20642
69,0,2,20642
70,0,2,46444
70,0,2,46444
71,0,2,68175
72,0,1,65627
72,0,1,65627
73,0,1,73712
73,0,1,73712
73,0,1,73712
73,1,1,0
78,0,1,82063
78,0,1,82063
81,0,2,163625
81,0,2,163625
82,0,2,59577
82,0,2,59577
83,0,1,53954
83,0,1,53954
83,0,1,53954
91,0,2,49179
91,0,2,49179
99,0,2,79322
99,0,2,79322
100,0,1,47347
100,0,1,47347
101,0,2,117068
101,0,2,117068
101,0,2,117068
101,0,2,117068
101,0,2,117068
101,0,2,117068
102,0,1,65381
102,0,1,65381
102,0,1,65381
102,0,1,65381
102,0,1,65381
102,0,1,65381
103,0,1,93550
103,0,1,93550
104,0,3,91405
104,0,3,91405
106,0,2,53502
106,0,2,53502
107,0,2,171756
107,0,2,171756
108,0,1,126400
108,0,1,126400
109,0,1,95563
109,0,1,95563
109,0,1,95563
112,0,1,54050
112,0,1,54050
112,0,1,54050
113,0,3,57696
113,0,3,57696
113,0,3,57696
113,0,3,57696
128,1,1,18725
128,1,1,18725
128,1,1,18725
128,1,1,18725
129,0,1,96010
129,0,1,96010
129,0,1,96010
131,0,1,21170
131,0,1,21170
133,1,2,12826
133,1,2,12826
133,1,2,12826
134,0,1,300766
134,0,1,300766
134,0,1,300766
134,0,1,300766
134,0,1,300766
136,0,2,155003
136,0,2,155003
136,0,2,155003
136,0,2,155003
137,0,2,318216
143,0,1,107203
143,0,1,107203
145,0,1,55514
145,0,1,55514
145,0,1,55514
145,0,1,55514
147,0,2,42000
147,0,2,42000
149,1,3,27030
149,1,3,27030
149,1,3,27030
153,0,2,25390
154,0,2,47706
154,0,2,47706
159,0,2,49500
159,0,2,49500
159,0,2,49500
161,0,1,56008
161,0,1,56008
161,0,1,56008
162,0,1,21003
162,0,1,21003
162,0,1,21003
162,0,1,21003
183,0,1,85912
183,0,1,85912
185,0,2,31600
189,0,2,92831
189,0,2,92831
192,0,2,12426
194,1,2,18999
195,0,1,24001
196,0,3,9492
197,0,2,239382
197,0,2,239382
198,0,2,59150
198,0,2,59150
200,1,2,8400
201,0,1,30426
204,0,1,120213
204,0,1,120213
204,0,1,120213
204,0,1,120213
206,1,3,24212
206,1,3,24212
211,0,2,25368
214,0,2,27000
214,0,2,27000
226,0,2,65050
226,0,2,65050
226,0,2,65050
226,0,2,65050
227,1,2,26000
227,1,2,26000
227,1,2,26000
227,1,2,26000
227,1,2,26000
228,0,1,77330
228,0,1,77330
228,0,1,77330
228,0,1,77330
229,0,1,15476
229,0,1,15476
230,0,3,35930
230,0,3,35930
235,0,2,13396
236,0,1,54215
236,0,1,54215
239,0,1,88938
239,0,1,88938
239,0,1,88938
240,0,1,55785
240,0,1,55785
241,0,2,50542
241,0,2,50542
246,0,1,129687
246,0,1,129687
246,0,1,129687
246,0,1,129687
247,0,2,38990
253,0,2,26622
254,0,2,72409
254,0,2,72409
259,1,2,1
260,0,2,22317
260,0,2,22317
264,1,2,11
269,0,2,41185
269,0,2,41185
270,0,1,43002
270,0,1,43002
270,0,1,43002
283,0,1,87198
283,0,1,87198
286,1,2,9960
286,1,2,9960
287,0,1,25649
288,0,2,77000
288,0,2,77000
289,0,2,103208
289,0,2,103208
289,0,2,103208
290,0,2,30009
290,0,2,30009
291,0,1,252658
291,0,1,252658
292,0,3,58902
292,0,3,58902
292,0,3,58902
293,0,3,85000
293,0,3,85000
296,0,2,19681
297,0,1,101258
297,0,1,101258
298,0,2,58000
302,0,3,35000
303,0,2,51484
303,0,2,51484
303,0,2,51484
304,0,1,34800
304,0,1,34800
304,0,1,34800
305,0,1,103436
305,0,1,103436
311,0,2,76052
311,0,2,76052
311,0,2,76052
323,0,2,221042
